id,name
74b0b46d-8289-4cc3-98be-18e8cb420c41,Insuficiência de direcionamento de crédito - Depósitos à vista - Microcrédito (em espécie)
cd7ac2c2-0f68-4bdd-96b8-d86b867f00f0,Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques
cc104ea3-c7d6-431e-b9ca-2e13360740ae,Índice nacional de preços ao consumidor - Amplo (IPCA) - Núcleo de dupla ponderação
9d5e6848-1983-4a71-b2a4-0219f83d205a,Saldo de crédito pessoa jurídica por modalidade de crédito - microempresa - Avais e fianças honrados
22d01254-f60e-452a-99e5-75bf3a1d2ff4,Saldo de crédito de pessoa jurídica por origem dos recursos e modalidade de crédito - microempresa - Recursos livres - Adiantamento sobre contratos de câmbio
5684bd03-898c-47ce-a08b-a7b7e36f5ab0,Insuficiência de direcionamento de crédito - Total
ffed7882-064c-4e7c-bdc1-187e702fa8e9,Taxa de inadimplência de pessoa jurídica por origem dos recursos e modalidade de crédito - pequeno porte - Recursos direcionados - Financiamento habitacional - carteira hipotecária
07157fef-ec01-4e72-b207-22d6cb0cc282,Recolhimentos obrigatórios de instituições financeiras - Depósitos de poupança em espécie (remunerados)
9939794d-97c0-4e2f-be88-1f2aabbd5ca2,Saldo de crédito pessoa jurídica por modalidade de crédito - microempresa - Capital de giro com prazo de vencimento superior a 365 dias
815befe5-b76f-4108-a98e-2c824cc9c24d,Recolhimentos obrigatórios de instituições financeiras - Exigibilidade adicional em espécie (remunerado)
0416dee0-d781-43dc-89ad-2597a4289bb1,Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados)
393d2a63-49b7-47bf-95db-63524c790daf,Taxa de juros de pessoa jurídica por origem dos recursos e modalidade de crédito - microempresa - Recursos livres - Crédito rotativo vinculado a cartão de crédito
4f1fbdfc-1c98-4fe9-8c6c-a485d1277b62,Saldo de crédito pessoa jurídica por modalidade de crédito - microempresa - Capital de giro com prazo de vencimento até 365 dias
51f706dd-ec7c-4c2a-9558-b907e299a946,Saldo de crédito pessoa jurídica por modalidade de crédito - microempresa - Cartão de crédito - compra ou fatura parcelada pela instituição financeira emitente do cartão
bcabaee2-1899-4e34-a2bd-2f97f46cb855,Taxa de câmbio real bilateral - IPA-DI - Brasil/Chile  - índice (média 2010 = 100)
d2b4a8fc-e4cf-4c21-8119-160b72166081,Saldo de crédito pessoa jurídica por modalidade de crédito - microempresa - Financiamento à exportação
c3a18482-34a5-4054-b6ba-7c405af04a46,Exportações - preços - índice (média 2018 = 100)
6b48c7cc-448b-4dbb-b867-0293eb43add3,Taxa de juros de pessoa jurídica por origem dos recursos e modalidade de crédito - microempresa - Recursos livres - Desconto de cheques
bfeaf8a6-6b73-47e6-9856-87ec2dabe8f9,Saldo de crédito pessoa jurídica por modalidade de crédito - microempresa - Home Equity
